,category,concept_eng,concept,n_concept,n_concept_list,list,exemplar,count,avg_rank_order,dominance,min_rank,max_rank,first_occur,availability_montefinese,availability,outliers,classif,n_exemplars,llama3.1-70b,mixtral
72,FOODS,pasta,PASTA,122,9,8,PASTA_corta,9,3.666666666666667,0.28125,1,16,0.15625,0.2032629529692493,0.2216411709279664,False,many_exemplars,31,6.16838264465332,11.600303649902344
93,FOODS,pasta,PASTA,122,9,8,PASTA_rigatoni,13,5.615384615384615,0.40625,1,13,0.03125,0.2035574994792024,0.2035574994792024,False,many_exemplars,31,5.576261043548584,8.963825225830078
81,FOODS,pasta,PASTA,122,9,8,PASTA_linguine,10,5.7,0.3125,2,15,0.0,0.1243049255684826,0.1649068944393274,False,many_exemplars,31,5.712429046630859,9.24826717376709
84,FOODS,pasta,PASTA,122,9,8,PASTA_maccheroni,9,9.11111111111111,0.28125,1,25,0.03125,0.08774298969551024,0.1584899030768509,False,many_exemplars,31,5.80726957321167,8.477919578552246
70,FOODS,pasta,PASTA,122,9,8,PASTA_all'uovo,9,9.22222222222222,0.28125,3,23,0.0,0.06756907170311949,0.1433188167944935,False,many_exemplars,31,5.872336387634277,10.20019817352295
83,FOODS,pasta,PASTA,122,9,8,PASTA_lunga,7,4.857142857142857,0.21875,1,15,0.03125,0.1073249509286745,0.1429147756466528,False,many_exemplars,31,6.1899261474609375,9.566205024719238
71,FOODS,pasta,PASTA,122,9,8,PASTA_bucatini,8,9.25,0.25,2,28,0.0,0.0485982075993527,0.1419193805843446,False,many_exemplars,31,5.637551307678223,8.6438627243042
79,FOODS,pasta,PASTA,122,9,8,PASTA_integrale,8,3.0,0.25,1,6,0.0625,0.1497968284485667,0.1303669110933702,False,many_exemplars,31,6.057555675506592,10.477001190185547
92,FOODS,pasta,PASTA,122,9,8,PASTA_rigata,6,9.666666666666666,0.1875,2,31,0.0,0.04967715611583047,0.1202233888085716,False,many_exemplars,31,6.119235992431641,10.200172424316406
80,FOODS,pasta,PASTA,122,9,8,PASTA_lasagne,8,7.625,0.25,3,17,0.0,0.04651474092408618,0.1092558020773182,False,many_exemplars,31,5.9295759201049805,9.063922882080078
98,FOODS,pasta,PASTA,122,9,8,PASTA_tagliatelle,9,12.11111111111111,0.28125,2,22,0.0,0.0487946602542018,0.10909499727071,False,many_exemplars,31,5.65958309173584,8.757384300231934
76,FOODS,pasta,PASTA,122,9,8,PASTA_fresca,8,7.875,0.25,3,17,0.0,0.04957061010526468,0.1089703231962027,False,many_exemplars,31,6.163128852844238,9.387848854064941
86,FOODS,pasta,PASTA,122,9,8,PASTA_orecchiette,5,6.4,0.15625,3,17,0.0,0.02849395230173893,0.08790416601328681,False,many_exemplars,31,5.472060203552246,8.227388381958008
82,FOODS,pasta,PASTA,122,9,8,PASTA_liscia,5,11.8,0.15625,3,30,0.0,0.01580842186323877,0.08306626040754794,False,many_exemplars,31,6.097575664520264,9.77170467376709
75,FOODS,pasta,PASTA,122,9,8,PASTA_fettuccine,6,5.666666666666667,0.1875,3,11,0.0,0.03368884768204842,0.07333729405762085,False,many_exemplars,31,5.714743137359619,8.127790451049805
91,FOODS,pasta,PASTA,122,9,8,PASTA_ravioli,7,14.71428571428571,0.21875,6,25,0.0,0.008119163532810995,0.07167026524025602,False,many_exemplars,31,5.674943923950195,10.077959060668945
90,FOODS,pasta,PASTA,122,9,8,PASTA_penne lisce,5,5.4,0.15625,2,10,0.0,0.03178132297502605,0.0640682273532753,False,many_exemplars,31,5.754737854003906,8.930034637451172
